2024-07-05 21:34:30,346, 85, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009021655982, Generator_Loss-train: 0.629150329911, Registration_Loss_val-val: 0.013241316464Generator_Loss_val-val: 0.633269478539
2024-07-05 21:41:54,304, 86, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009008573615, Generator_Loss-train: 0.629135967589, Registration_Loss_val-val: 0.013232328559Generator_Loss_val-val: 0.633259512609
2024-07-05 21:49:13,759, 87, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008995670222, Generator_Loss-train: 0.629121687806, Registration_Loss_val-val: 0.013221136216Generator_Loss_val-val: 0.633246015976
2024-07-05 21:56:39,167, 88, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008982202649, Generator_Loss-train: 0.629107168985, Registration_Loss_val-val: 0.013219997764Generator_Loss_val-val: 0.633244896923
2024-07-05 22:03:49,665, 89, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008969234375, Generator_Loss-train: 0.629093056454, Registration_Loss_val-val: 0.013209290855Generator_Loss_val-val: 0.633233498609
2024-07-05 22:11:01,364, 90, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008955951792, Generator_Loss-train: 0.629079142192, Registration_Loss_val-val: 0.013200295882Generator_Loss_val-val: 0.633223257683
2024-07-05 22:18:20,290, 91, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008944124226, Generator_Loss-train: 0.629066260762, Registration_Loss_val-val: 0.013187614299Generator_Loss_val-val: 0.633209308919
2024-07-05 22:25:31,557, 92, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008931371168, Generator_Loss-train: 0.629052542739, Registration_Loss_val-val: 0.013177099038Generator_Loss_val-val: 0.633197567556
2024-07-05 22:32:50,473, 93, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008919963337, Generator_Loss-train: 0.629040383585, Registration_Loss_val-val: 0.013167142205Generator_Loss_val-val: 0.633186401550
2024-07-05 22:40:04,851, 94, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008907823316, Generator_Loss-train: 0.629027286247, Registration_Loss_val-val: 0.013158486847Generator_Loss_val-val: 0.633175765130
2024-07-05 22:47:15,173, 95, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008895326772, Generator_Loss-train: 0.629013369871, Registration_Loss_val-val: 0.013150649203Generator_Loss_val-val: 0.633166672665
2024-07-05 22:54:26,772, 96, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008883474220, Generator_Loss-train: 0.629001016412, Registration_Loss_val-val: 0.013138495401Generator_Loss_val-val: 0.633154411724
2024-07-05 23:01:44,685, 97, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008871460930, Generator_Loss-train: 0.628988003728, Registration_Loss_val-val: 0.013129170936Generator_Loss_val-val: 0.633144832354
2024-07-05 23:09:00,426, 98, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008859678954, Generator_Loss-train: 0.628975275189, Registration_Loss_val-val: 0.013123185821Generator_Loss_val-val: 0.633137668359
2024-07-05 23:16:13,406, 99, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008848006254, Generator_Loss-train: 0.628962340658, Registration_Loss_val-val: 0.013114806155Generator_Loss_val-val: 0.633128818396
2024-07-05 23:23:31,443, 100, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008836071000, Generator_Loss-train: 0.628949735831, Registration_Loss_val-val: 0.013105343902Generator_Loss_val-val: 0.633117874730
2024-07-05 23:30:50,197, 101, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008824937167, Generator_Loss-train: 0.628937995120, Registration_Loss_val-val: 0.013094522592Generator_Loss_val-val: 0.633106925741
2024-07-05 23:38:07,680, 102, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008813574950, Generator_Loss-train: 0.628925671698, Registration_Loss_val-val: 0.013088906003Generator_Loss_val-val: 0.633100494471
2024-07-05 23:45:23,091, 103, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008803371728, Generator_Loss-train: 0.628914786466, Registration_Loss_val-val: 0.013077423725Generator_Loss_val-val: 0.633089077633
2024-07-05 23:52:44,160, 104, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008792339293, Generator_Loss-train: 0.628902727527, Registration_Loss_val-val: 0.013071490150Generator_Loss_val-val: 0.633082911382
2024-07-05 23:59:52,510, 105, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008781170582, Generator_Loss-train: 0.628891668642, Registration_Loss_val-val: 0.013060960742Generator_Loss_val-val: 0.633070815994
2024-07-06 00:07:02,640, 106, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008770093345, Generator_Loss-train: 0.628879817530, Registration_Loss_val-val: 0.013052426273Generator_Loss_val-val: 0.633062564012
2024-07-06 00:14:19,235, 107, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008759375996, Generator_Loss-train: 0.628868994798, Registration_Loss_val-val: 0.013045215625Generator_Loss_val-val: 0.633055153983
2024-07-06 00:21:39,151, 108, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008749305109, Generator_Loss-train: 0.628858090230, Registration_Loss_val-val: 0.013032013334Generator_Loss_val-val: 0.633041912062
2024-07-06 00:28:56,701, 109, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008738208274, Generator_Loss-train: 0.628845855994, Registration_Loss_val-val: 0.013023624851Generator_Loss_val-val: 0.633032369778
2024-07-06 00:36:35,993, 110, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008727908329, Generator_Loss-train: 0.628834204302, Registration_Loss_val-val: 0.013018511445Generator_Loss_val-val: 0.633026129758
2024-07-06 00:43:55,978, 111, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.008717536633, Generator_Loss-train: 0.628823054899, Registration_Loss_val-val: 0.013012739135Generator_Loss_val-val: 0.633019405989
